drug,creationDate,type,status
DB00001,2005-06-13,biotech,approved
DB00002,2005-06-13,biotech,approved
DB00003,2005-06-13,biotech,approved
DB00004,2005-06-13,biotech,approved
DB00005,2005-06-13,biotech,approved
DB00006,2005-06-13,small molecule,approved
DB00007,2005-06-13,biotech,approved
DB00008,2005-06-13,biotech,approved
DB00009,2005-06-13,biotech,approved
DB00010,2005-06-13,biotech,withdrawn
DB00011,2005-06-13,biotech,approved
DB00012,2005-06-13,biotech,approved
DB00013,2005-06-13,biotech,withdrawn
DB00014,2005-06-13,small molecule,approved
DB00015,2005-06-13,biotech,approved
DB00016,2005-06-13,biotech,approved
DB00017,2005-06-13,biotech,approved
DB00018,2005-06-13,biotech,approved
DB00019,2005-06-13,biotech,approved
DB00020,2005-06-13,biotech,approved
DB00021,2005-06-13,biotech,approved
DB00022,2005-06-13,biotech,approved
DB00023,2005-06-13,biotech,approved
DB00024,2005-06-13,biotech,approved
DB00025,2005-06-13,biotech,approved
DB00026,2005-06-13,biotech,approved
DB00027,2005-06-13,small molecule,approved
DB00028,2005-06-13,biotech,approved
DB00029,2005-06-13,biotech,approved
DB00030,2005-06-13,biotech,approved
DB00031,2005-06-13,biotech,approved
DB00032,2005-06-13,biotech,approved
DB00033,2005-06-13,biotech,approved
DB00034,2005-06-13,biotech,approved
DB00035,2005-06-13,small molecule,approved
DB00036,2005-06-13,biotech,approved
DB00038,2005-06-13,biotech,approved
DB00039,2005-06-13,biotech,approved
DB00040,2005-06-13,biotech,approved
DB00041,2005-06-13,biotech,approved
DB00042,2005-06-13,biotech,approved
DB00043,2005-06-13,biotech,approved
DB00044,2005-06-13,biotech,approved
DB00045,2005-06-13,biotech,withdrawn
DB00046,2005-06-13,biotech,approved
DB00047,2005-06-13,biotech,approved
DB00048,2005-06-13,biotech,approved
DB00049,2005-06-13,biotech,approved
DB00050,2005-06-13,small molecule,approved
DB00051,2005-06-13,biotech,approved
DB00052,2005-06-13,biotech,approved
DB00053,2005-06-13,biotech,approved
DB00054,2005-06-13,biotech,approved
DB00055,2005-06-13,biotech,withdrawn
DB00056,2005-06-13,biotech,approved
DB00057,2005-06-13,biotech,withdrawn
DB00058,2005-06-13,biotech,approved
DB00059,2005-06-13,biotech,approved
DB00060,2005-06-13,biotech,approved
DB00061,2005-06-13,biotech,approved
DB00062,2005-06-13,biotech,approved
DB00063,2005-06-13,biotech,approved
DB00065,2005-06-13,biotech,approved
DB00066,2005-06-13,biotech,approved
DB00067,2005-06-13,small molecule,approved
DB00068,2005-06-13,biotech,approved
DB00069,2005-06-13,biotech,approved
DB00070,2005-06-13,biotech,approved
DB00071,2005-06-13,biotech,approved
DB00072,2005-06-13,biotech,approved
DB00073,2005-06-13,biotech,approved
DB00074,2005-06-13,biotech,approved
DB00075,2005-06-13,biotech,approved
DB00076,2005-06-13,biotech,approved
DB00078,2005-06-13,biotech,approved
DB00080,2005-06-13,small molecule,approved
DB00081,2005-06-13,biotech,approved
DB00082,2005-06-13,biotech,approved
DB00083,2005-06-13,biotech,approved
DB00085,2005-06-13,biotech,approved
DB00086,2005-06-13,biotech,approved
DB00087,2005-06-13,biotech,approved
DB00088,2005-06-13,biotech,approved
DB00089,2005-06-13,biotech,approved
DB00090,2005-06-13,biotech,approved
DB00091,2005-06-13,small molecule,approved
DB00092,2005-06-13,biotech,withdrawn
DB00093,2005-06-13,small molecule,approved
DB00094,2005-06-13,biotech,approved
DB00095,2005-06-13,biotech,approved
DB00097,2005-06-13,biotech,approved
DB00098,2005-06-13,biotech,approved
DB00099,2005-06-13,biotech,approved
DB00100,2005-06-13,biotech,approved
DB00102,2005-06-13,biotech,approved
DB00103,2005-06-13,biotech,approved
DB00104,2005-06-13,small molecule,approved
DB00105,2005-06-13,biotech,approved
DB00106,2005-06-13,small molecule,withdrawn
DB00107,2005-06-13,biotech,approved
DB00108,2005-06-13,biotech,approved
DB00109,2005-06-13,biotech,approved
DB00110,2005-06-13,biotech,approved
DB00111,2005-06-13,biotech,withdrawn
DB00112,2005-06-13,biotech,approved
DB00113,2005-06-13,biotech,approved
DB00114,2005-06-13,small molecule,approved
DB00115,2005-06-13,small molecule,approved
DB00116,2005-06-13,small molecule,other
DB00117,2005-06-13,small molecule,approved
DB00118,2005-06-13,small molecule,approved
DB00119,2005-06-13,small molecule,approved
DB00120,2005-06-13,small molecule,approved
DB00121,2005-06-13,small molecule,approved
DB00122,2005-06-13,small molecule,approved
DB00123,2005-06-13,small molecule,approved
DB00125,2005-06-13,small molecule,approved
DB00126,2005-06-13,small molecule,approved
DB00127,2005-06-13,small molecule,approved
DB00128,2005-06-13,small molecule,approved
DB00129,2005-06-13,small molecule,approved
DB00130,2005-06-13,small molecule,approved
DB00131,2005-06-13,small molecule,approved
DB00132,2005-06-13,small molecule,approved
DB00133,2005-06-13,small molecule,approved
DB00134,2005-06-13,small molecule,approved
DB00135,2005-06-13,small molecule,approved
DB00136,2005-06-13,small molecule,approved
DB00137,2005-06-13,small molecule,approved
DB00138,2005-06-13,small molecule,approved
DB00139,2005-06-13,small molecule,approved
DB00140,2005-06-13,small molecule,approved
DB00141,2005-06-13,small molecule,approved
DB00142,2005-06-13,small molecule,approved
DB00143,2005-06-13,small molecule,approved
DB00144,2005-06-13,small molecule,approved
DB00145,2005-06-13,small molecule,approved
DB00146,2005-06-13,small molecule,approved
DB00147,2005-06-13,small molecule,approved
DB00148,2005-06-13,small molecule,approved
DB00149,2005-06-13,small molecule,approved
